Time,560b,050a,055a,060a,050b,055b,060b,350a,355a,360a,350b,355b,360b,550a,555a,560a,550b,555b
193,,,2.183,,2.126,,2.113,1.69,0.253,0.562,1.427,0.201,0.211,1.699,0.155,0.117,1.611,
194,,,2.11,,2.161,,2.074,1.711,0.252,0.565,1.436,0.201,0.211,1.709,0.152,0.117,1.644,
195,,,2.192,,2.062,,2.107,1.673,0.253,0.57,1.451,0.203,0.213,1.752,0.155,0.119,1.613,
196,,,2.14,,2.129,,2.08,1.702,0.256,0.568,1.451,0.204,0.212,1.726,0.154,0.12,1.638,
197,,,2.163,,2.15,,2.069,1.693,0.256,0.574,1.461,0.205,0.217,1.727,0.155,0.118,1.649,
198,,,2.16,,2.093,,2.102,1.704,0.257,0.578,1.469,0.206,0.218,1.742,0.155,0.116,1.641,
199,,,2.137,,2.108,,2.091,1.719,0.257,0.578,1.474,0.209,0.22,1.756,0.158,0.119,1.654,
200,,,2.114,,2.122,,2.12,1.715,0.259,0.586,1.482,0.208,0.218,1.746,0.159,0.126,1.643,
201,,,2.155,,2.124,,2.091,1.73,0.259,0.59,1.468,0.209,0.217,1.749,0.16,0.128,1.653,
202,,,2.037,,2.099,,2.094,1.716,0.262,0.589,1.502,0.211,0.22,1.771,0.16,0.127,1.677,
203,,,2.106,,2.176,,2.12,1.755,0.263,0.593,1.502,0.211,0.22,1.77,0.158,0.124,1.701,
204,,,2.117,,2.118,,2.083,1.744,0.263,0.597,1.494,0.213,0.22,1.78,0.16,0.119,1.676,
205,,,2.136,,2.104,,2.073,1.744,0.265,0.598,1.511,0.216,0.218,1.764,0.161,0.119,1.682,
206,,,2.116,,2.148,,2.091,1.758,0.265,0.6,1.528,0.214,0.22,1.767,0.163,0.117,1.697,
207,,,2.158,,2.085,,2.095,1.737,0.268,0.599,1.529,0.216,0.222,1.773,0.163,0.118,1.683,
208,,,2.087,,2.084,,2.11,1.769,0.269,0.604,1.527,0.218,0.222,1.811,0.161,0.12,1.71,
209,,,2.126,,2.066,,2.08,1.772,0.272,0.609,1.536,0.221,0.222,1.791,0.162,0.121,1.699,
210,,,2.107,,2.145,,2.087,1.773,0.272,0.618,1.564,0.221,0.224,1.79,0.165,0.119,1.723,
211,,,,,2.112,,2.025,1.809,0.274,0.614,1.555,0.219,0.226,1.792,0.165,0.122,1.727,
212,,,,,2.123,,2.079,1.806,0.273,0.622,1.551,0.222,0.227,1.784,0.166,0.119,1.733,
213,,,,,2.048,,2.162,1.781,0.276,0.622,1.56,0.223,0.226,1.782,0.166,0.118,1.715,
214,,,,,2.135,,2.097,1.777,0.278,0.621,1.559,0.224,0.228,1.774,0.167,0.114,1.701,
215,,,,,2.109,,2.077,1.791,0.279,0.623,1.566,0.224,0.229,1.83,0.168,0.116,1.728,
216,,,,,2.135,,2.094,1.801,0.279,0.628,1.582,0.225,0.231,1.821,0.169,0.116,1.746,
217,,,,,2.139,,2.106,1.822,0.279,0.632,1.595,0.225,0.232,1.851,0.169,0.115,1.749,
218,,,,,2.171,,2.13,1.829,0.278,0.634,1.595,0.228,0.234,1.824,0.172,0.115,1.754,
219,,,,,2.149,,2.1,1.867,0.282,0.636,1.594,0.229,0.235,1.829,0.171,0.114,1.729,
220,,,,,2.13,,2.122,1.846,0.283,0.641,1.597,0.232,0.238,1.881,0.173,0.112,1.771,
221,,,,,2.141,,2.075,1.862,0.285,0.642,1.629,0.232,0.239,1.817,0.172,0.115,1.769,
222,,,,,2.135,,2.129,1.807,0.288,0.647,1.624,0.232,0.238,1.859,0.174,0.115,1.773,
223,,,,,2.081,,2.125,1.859,0.287,0.648,1.647,0.233,0.24,1.85,0.172,0.118,1.733,
224,,,,,2.123,,2.057,1.845,0.287,0.651,1.63,0.234,0.24,1.874,0.175,0.118,1.763,
225,,,,,2.1,,2.163,1.842,0.289,0.66,1.633,0.236,0.24,1.859,0.176,0.122,1.787,
226,,,,,2.133,,2.087,1.823,0.29,0.659,1.634,0.237,0.242,1.874,0.175,0.124,1.768,
227,,,,,2.146,,2.085,1.896,0.293,0.66,1.652,0.237,0.243,1.86,0.177,0.12,1.778,
228,,,,,2.091,,2.098,1.89,0.294,0.67,1.661,0.238,0.247,1.854,0.178,0.12,1.788,
229,,,,,2.126,,2.117,1.859,0.297,0.671,1.669,0.239,0.247,1.887,0.18,0.117,1.835,
230,,,,,2.134,,2.133,1.864,0.297,0.671,1.665,0.241,0.248,1.879,0.178,0.117,1.802,
231,,,,,2.214,,2.093,1.871,0.298,0.673,1.645,0.242,0.251,1.877,0.179,0.119,1.795,
232,,,,,2.142,,2.09,1.859,0.299,0.676,1.665,0.244,0.251,1.884,0.181,0.12,1.816,
233,,,,,2.157,,2.167,1.897,0.298,0.678,1.672,0.243,0.257,1.871,0.181,,1.79,
234,,,,,2.086,,2.141,1.905,0.303,0.684,1.69,0.247,0.257,1.899,0.181,,1.79,
235,,,,,2.172,,2.097,1.891,0.303,0.688,1.705,0.247,0.262,1.875,0.182,,1.818,
236,,,,,2.114,,2.13,1.901,0.304,0.687,1.706,0.247,0.263,1.874,0.182,,1.81,
237,,,,,2.141,,2.107,1.88,0.305,0.694,1.698,0.248,0.264,1.868,0.185,,1.818,
238,,,,,2.096,,2.11,1.871,0.307,0.693,1.716,0.249,0.262,1.877,0.187,,1.845,
239,,,,,2.106,,2.093,1.927,0.308,0.696,1.721,0.25,0.263,1.899,0.186,,1.827,
240,,,,,2.059,,2.054,1.928,0.308,0.699,1.718,0.251,0.265,1.933,0.188,,1.844,
241,,,,,2.137,,2.117,1.902,0.309,0.703,1.74,0.251,,1.893,0.188,,1.849,
242,,,,,2.121,,2.083,1.925,0.311,0.704,1.725,0.253,,1.945,0.186,,1.817,
243,,,,,2.147,,2.097,1.907,0.312,0.707,1.737,0.254,,1.915,0.186,,1.82,
244,,,,,2.104,,2.09,1.945,0.312,0.708,1.752,0.257,,1.929,0.191,,1.869,
245,,,,,2.158,,2.138,1.934,0.315,0.711,1.757,0.257,,1.921,0.19,,1.854,
246,,,,,2.16,,2.164,1.945,0.315,0.715,1.739,0.257,,1.952,0.194,,1.856,
247,,,,,2.1,,2.091,1.976,0.315,0.721,1.762,0.258,,1.973,0.191,,1.881,
248,,,,,2.131,,2.158,1.939,0.318,0.718,1.749,0.259,,1.956,0.193,,1.909,
249,,,,,2.137,,2.124,1.97,0.32,0.723,1.741,0.261,,1.92,0.194,,1.868,
250,,,,,2.138,,2.166,1.972,0.32,0.729,1.761,0.262,,1.982,0.194,,1.859,
251,,,,,2.096,,2.131,1.981,0.321,0.726,1.798,0.263,,1.952,0.195,,1.867,
252,,,,,2.112,,2.159,2.019,0.321,0.735,1.748,0.265,,1.953,0.198,,1.9,
253,,,,,2.152,,2.176,1.979,,0.734,1.77,0.264,,1.939,0.195,,1.895,
254,,,,,2.13,,2.09,1.961,,0.734,1.776,0.265,,1.928,0.195,,1.873,
255,,,,,2.141,,2.138,1.974,,0.743,1.795,0.268,,1.958,0.196,,1.861,
256,,,,,2.12,,2.113,1.978,,0.746,1.78,0.268,,1.998,0.195,,1.876,
257,,,,,2.112,,2.062,1.972,,0.753,1.787,0.267,,,0.198,,1.91,
258,,,,,2.153,,2.142,,,0.759,1.793,0.271,,,0.197,,1.905,
259,,,,,2.178,,2.087,,,0.756,1.803,0.271,,,0.201,,1.874,
260,,,,,2.141,,2.124,,,0.758,1.809,0.272,,,0.2,,1.919,
261,,,,,2.097,,2.087,,,0.767,1.871,0.272,,,0.2,,1.879,
262,,,,,2.258,,2.143,,,,1.833,0.275,,,0.201,,1.922,
263,,,,,2.153,,2.101,,,,1.821,0.275,,,0.201,,1.915,
264,,,,,2.112,,2.146,,,,1.828,0.276,,,0.203,,1.941,
265,,,,,2.144,,2.126,,,,1.818,0.277,,,0.204,,1.897,
266,,,,,2.248,,2.139,,,,1.845,0.28,,,0.204,,1.92,
267,,,,,2.122,,2.174,,,,1.853,0.28,,,0.204,,1.938,
268,,,,,2.061,,2.097,,,,1.846,0.28,,,0.205,,1.902,
269,,,,,2.137,,2.148,,,,,0.282,,,0.205,,1.873,
270,,,,,2.147,,2.119,,,,,0.282,,,0.207,,1.974,
271,,,,,2.098,,2.11,,,,,0.284,,,0.206,,,
272,,,,,2.11,,2.086,,,,,0.284,,,0.209,,,
273,,,,,2.091,,2.101,,,,,0.286,,,0.209,,,
274,,,,,2.124,,2.062,,,,,0.287,,,0.211,,,
275,,,,,2.158,,2.066,,,,,0.288,,,0.209,,,
276,,,,,2.148,,2.157,,,,,0.288,,,0.211,,,
277,,,,,2.135,,2.155,,,,,0.29,,,0.213,,,
278,,,,,2.136,,2.113,,,,,0.29,,,,,,
279,,,,,,,2.105,,,,,0.292,,,,,,
280,,,,,,,2.116,,,,,0.293,,,,,,
281,,,,,,,2.117,,,,,0.294,,,,,,
282,,,,,,,2.067,,,,,0.295,,,,,,
283,,,,,,,2.115,,,,,0.294,,,,,,
284,,,,,,,2.104,,,,,0.295,,,,,,
,,,,,,,,,,,,0.297,,,,,,
,,,,,,,,,,,,0.301,,,,,,
,,,,,,,,,,,,0.298,,,,,,
,,,,,,,,,,,,0.3,,,,,,
,,,,,,,,,,,,0.304,,,,,,
,,,,,,,,,,,,0.303,,,,,,
,,,,,,,,,,,,0.303,,,,,,
,,,,,,,,,,,,0.306,,,,,,
,,,,,,,,,,,,0.304,,,,,,
,,,,,,,,,,,,0.307,,,,,,
,,,,,,,,,,,,0.308,,,,,,
,,,,,,,,,,,,0.309,,,,,,
,,,,,,,,,,,,0.308,,,,,,
,,,,,,,,,,,,0.312,,,,,,
,,,,,,,,,,,,0.311,,,,,,
,,,,,,,,,,,,0.314,,,,,,
