Time,.166 mg/mL A.P run 4,2.5 mg/mL A.P run 1,2.5 mg/mL A.P run 2,1.25 mg/mL A.P run 1,1.25 mg/mL A.P run 2,1.25 mg/mL A.P run 3,.83 mg/mL A.P run 1,.83 mg/mL A.P run 2,.83 mg/mL A.P run 3,.416 mg/mL A.P run 1,.416 mg/mL A.P run 2,.416 mg/mL A.P run 3,.25 mg/mL A.P run 1,.25 mg/mL A.P run 2,.25 mg/mL A.P run 3,.2 mg/mL A.P run 1,.2 mg/mL A.P run 2,.2 mg/mL A.P run 3,.166 mg/mL A.P run 1,.166 mg/mL A.P run 2,.166 mg/mL A.P run 3,.25 mg/mL A.P run 4,.25 mg/mL A.P run 5,.416 mg/mL A.P run 4,1.25 mg/mL A.P run 4
134,,,,1.847,1.761,1.842,1.405,1.273,1.327,0.391,0.596,0.466,0.338,,0.371,0.316,0.329,0.305,,0.14,,,,,1.882
135,,,,1.837,1.747,1.868,1.396,1.292,1.34,0.401,0.603,0.47,0.341,,0.374,0.322,0.335,0.307,,0.142,,,,,1.948
136,,,,1.867,1.764,1.865,1.404,1.302,1.361,0.407,0.609,0.477,0.343,,0.379,0.32,0.336,0.31,,0.144,,,,,1.933
137,,,,1.897,1.801,1.863,1.433,1.305,1.361,0.412,0.617,0.486,0.349,,0.383,0.322,0.339,0.314,,0.146,,,,,
138,,,,1.868,1.818,1.898,1.454,1.328,1.378,0.419,0.621,0.487,0.352,,0.387,0.326,0.346,0.316,,0.148,,,,,
139,,,,1.895,1.834,1.932,1.444,1.333,1.382,0.425,0.626,0.497,0.357,,0.392,0.33,0.345,0.322,,0.151,,,,,
140,,,,1.951,1.847,1.895,1.468,1.345,1.407,0.433,0.636,0.504,0.361,,0.395,0.332,0.349,0.323,,0.156,,,,,
141,,,,1.955,1.861,1.905,1.478,1.352,1.41,0.44,0.645,0.51,0.366,,0.401,0.335,0.352,0.326,,0.158,,,,,
142,,,,1.896,1.856,1.982,1.49,1.369,1.424,0.445,0.643,0.519,0.369,,0.403,0.339,0.356,0.329,,0.162,,,,,
143,,,,1.903,1.874,1.972,1.489,1.383,1.424,0.452,0.654,0.524,0.374,,0.407,0.341,0.359,0.333,,0.168,,,,,
144,,,,1.999,1.857,1.976,1.512,1.402,1.448,0.453,0.659,0.536,0.38,,0.41,0.342,0.361,0.334,,0.17,,,,,
145,,,,1.966,1.895,2.029,1.524,1.409,1.451,0.462,0.668,0.538,0.382,,0.415,0.346,0.362,,,0.173,,,,,
146,,,,1.981,1.903,1.974,1.533,1.439,1.446,0.469,0.67,0.54,0.384,,0.415,0.351,0.367,,,0.177,,,,,
147,,,,2.022,1.935,1.97,1.531,1.424,1.473,0.475,0.678,0.549,0.39,,0.423,0.354,0.372,,,0.181,,,,,
148,,,,2.014,1.932,2.025,1.567,1.435,1.505,0.487,0.685,0.553,0.394,,0.426,0.357,0.373,,,0.188,,,,,
149,,,,2.059,1.961,2.03,1.584,1.456,1.489,0.49,0.691,0.56,0.395,,0.428,0.36,0.377,,,0.192,,,,,
150,,,,2.027,1.962,2.031,1.581,1.467,1.497,0.495,0.697,0.563,0.398,,0.433,,0.378,,,0.196,,,,,
151,,,,2.089,1.956,2.062,1.597,1.475,1.521,0.504,0.698,0.573,0.404,,0.439,,0.383,,,0.203,,,,,
152,,,,2.072,2.016,2.089,1.605,1.493,1.514,0.509,0.71,0.58,0.408,,0.442,,0.387,,,0.208,,,,,
153,,,,2.065,2.031,2.081,1.606,1.489,1.523,0.516,0.716,0.587,0.412,,0.443,,0.39,,,0.211,,,,,
154,,,,2.055,2.08,2.12,1.659,1.514,1.547,0.519,0.721,0.594,0.417,,0.446,,0.39,,,0.215,,,,,
155,,,,2.158,2.039,2.141,1.625,1.518,1.565,0.527,0.729,0.6,0.417,,0.452,,0.391,,,0.223,,,,,
156,,,,2.065,2.035,2.118,1.645,1.508,1.556,0.534,0.736,0.608,0.422,,0.456,,0.398,,,0.229,,,,,
157,,,,2.181,2.04,2.113,1.641,1.543,1.581,0.537,0.744,0.615,0.428,,0.463,,0.4,,,0.233,,,,,
158,,,,2.155,2.043,2.172,1.669,1.557,1.609,0.544,0.744,0.618,0.431,,0.465,,0.403,,,0.239,,,,,
159,,,,2.109,2.082,2.151,1.644,1.578,1.607,0.552,,0.621,0.435,,0.465,,0.408,,,0.249,,,,,
160,,,,2.162,,2.142,1.699,1.576,1.594,0.558,,0.63,0.439,,0.468,,0.405,,,0.253,,,,,
161,,,,2.211,,2.167,1.695,1.588,1.61,0.564,,0.636,0.445,,0.474,,0.41,,,0.258,,,,,
162,,,,2.237,,2.163,1.73,1.591,1.608,0.569,,0.644,0.453,,0.479,,0.415,,,0.263,,,,,
163,,,,2.122,,2.186,1.713,1.624,1.631,0.579,,0.652,0.449,,,,0.417,,,0.269,,,,,
164,,,,2.132,,2.161,1.741,1.619,1.628,0.583,,0.656,0.455,,,,0.422,,,0.273,,,,,
165,,,,2.203,,2.228,1.722,1.645,1.683,0.59,,0.662,0.457,,,,0.423,,,0.278,,,,,
166,,,,,,2.225,1.76,1.646,1.693,0.596,,0.668,0.462,,,,0.428,,,0.286,,,,,
167,,,,,,2.206,1.739,,1.671,0.602,,0.673,0.469,,,,0.427,,,,,,,,
168,,,,,,2.217,,,1.687,0.607,,0.68,0.47,,,,0.435,,,,,,,,
169,,,,,,2.185,,,1.711,0.612,,0.69,0.469,,,,0.436,,,,,,,,
170,,,,,,,,,1.723,0.624,,0.694,0.48,,,,0.435,,,,,,,,
171,,,,,,,,,1.723,0.625,,0.702,0.482,,,,0.44,,,,,,,,
172,,,,,,,,,1.754,0.631,,0.707,0.486,,,,0.444,,,,,,,,
173,,,,,,,,,1.754,0.637,,0.709,0.488,,,,0.445,,,,,,,,
174,,,,,,,,,1.763,0.64,,0.718,0.495,,,,,,,,,,,,
175,,,,,,,,,1.722,0.65,,0.724,0.499,,,,,,,,,,,,
176,,,,,,,,,1.776,0.658,,0.729,0.501,,,,,,,,,,,,
177,,,,,,,,,1.735,0.663,,,0.504,,,,,,,,,,,,
178,,,,,,,,,1.834,0.669,,,0.507,,,,,,,,,,,,
179,,,,,,,,,1.802,0.674,,,,,,,,,,,,,,,
180,,,,,,,,,1.848,0.679,,,,,,,,,,,,,,,
181,,,,,,,,,1.821,,,,,,,,,,,,,,,,
182,,,,,,,,,1.854,,,,,,,,,,,,,,,,
183,,,,,,,,,1.844,,,,,,,,,,,,,,,,
184,,,,,,,,,1.857,,,,,,,,,,,,,,,,
185,,,,,,,,,1.886,,,,,,,,,,,,,,,,
186,,,,,,,,,1.854,,,,,,,,,,,,,,,,
187,,,,,,,,,1.872,,,,,,,,,,,,,,,,
188,,,,,,,,,1.883,,,,,,,,,,,,,,,,
189,,,,,,,,,1.89,,,,,,,,,,,,,,,,
190,,,,,,,,,1.9,,,,,,,,,,,,,,,,
191,,,,,,,,,1.913,,,,,,,,,,,,,,,,
192,,,,,,,,,1.957,,,,,,,,,,,,,,,,
193,,,,,,,,,1.933,,,,,,,,,,,,,,,,
194,,,,,,,,,1.893,,,,,,,,,,,,,,,,
195,,,,,,,,,1.911,,,,,,,,,,,,,,,,
196,,,,,,,,,1.979,,,,,,,,,,,,,,,,
197,,,,,,,,,1.999,,,,,,,,,,,,,,,,
198,,,,,,,,,1.941,,,,,,,,,,,,,,,,
199,,,,,,,,,1.931,,,,,,,,,,,,,,,,
200,,,,,,,,,1.956,,,,,,,,,,,,,,,,
